Closing_5,Closing_4,Closing_3,Closing_2,Closing_1,SMA_5_5,SMA_5_4,SMA_5_3,SMA_5_2,SMA_5_1,EMA_5_5,EMA_5_4,EMA_5_3,EMA_5_2,EMA_5_1,RSI_5,RSI_4,RSI_3,RSI_2,RSI_1,MACD_5,MACD_4,MACD_3,MACD_2,MACD_1,Signal_Line_5,Signal_Line_4,Signal_Line_3,Signal_Line_2,Signal_Line_1,BB_upper_5,BB_upper_4,BB_upper_3,BB_upper_2,BB_upper_1,BB_lower_5,BB_lower_4,BB_lower_3,BB_lower_2,BB_lower_1,Action
41.3125,41.61000061035156,41.630001068115234,42.8125,43.54499816894531,39.33449935913086,40.02149963378906,40.45950012207031,41.206999969482425,42.18199996948242,39.63906679051734,40.296044730462086,40.74069684301314,41.4312978953421,42.13586465320984,66.96986152592997,67.6142590496944,70.65312909152439,78.80183188121896,78.72106850552726,0.1887438243839696,0.3777632495952332,0.5231458756695844,0.7254182653007604,0.9340598117903268,-0.0767275364075138,0.0141706207930355,0.1159656717683453,0.2378561904748283,0.3770969147379281,40.71766080303924,41.19894706536031,41.475497903185854,42.18064515091046,42.93230104329095,36.05858889178498,35.79030273627543,36.122001944226255,35.99160483383076,35.896198941450265,0
41.61000061035156,41.630001068115234,42.8125,43.54499816894531,43.560001373291016,40.02149963378906,40.45950012207031,41.206999969482425,42.18199996948242,42.63150024414063,40.296044730462086,40.74069684301314,41.4312978953421,42.13586465320984,42.610576893236896,67.6142590496944,70.65312909152439,78.80183188121896,78.72106850552726,77.61876541872782,0.3777632495952332,0.5231458756695844,0.7254182653007604,0.9340598117903268,1.0880776914460242,0.0141706207930355,0.1159656717683453,0.2378561904748283,0.3770969147379281,0.5192930700795474,41.19894706536031,41.475497903185854,42.18064515091046,42.93230104329095,43.58141609143682,35.79030273627543,36.122001944226255,35.99160483383076,35.896198941450265,35.834334030633485,0
41.630001068115234,42.8125,43.54499816894531,43.560001373291016,42.73500061035156,40.45950012207031,41.206999969482425,42.18199996948242,42.63150024414063,42.85650024414063,40.74069684301314,41.4312978953421,42.13586465320984,42.610576893236896,42.65205146560845,70.65312909152439,78.80183188121896,78.72106850552726,77.61876541872782,70.2036343862246,0.5231458756695844,0.7254182653007604,0.9340598117903268,1.0880776914460242,1.1305351979338525,0.1159656717683453,0.2378561904748283,0.3770969147379281,0.5192930700795474,0.6415414956504084,41.475497903185854,42.18064515091046,42.93230104329095,43.58141609143682,43.96902308848775,36.122001944226255,35.99160483383076,35.896198941450265,35.834334030633485,35.88747715565287,-1
42.8125,43.54499816894531,43.560001373291016,42.73500061035156,42.602500915527344,41.206999969482425,42.18199996948242,42.63150024414063,42.85650024414063,43.05100021362305,41.4312978953421,42.13586465320984,42.610576893236896,42.65205146560845,42.63553461558142,78.80183188121896,78.72106850552726,77.61876541872782,70.2036343862246,68.41961363719092,0.7254182653007604,0.9340598117903268,1.0880776914460242,1.1305351979338525,1.1403462578692896,0.2378561904748283,0.3770969147379281,0.5192930700795474,0.6415414956504084,0.7413024480941847,42.18064515091046,42.93230104329095,43.58141609143682,43.96902308848775,44.28218617375575,35.99160483383076,35.896198941450265,35.834334030633485,35.88747715565287,35.989564085643664,-1
43.54499816894531,43.560001373291016,42.73500061035156,42.602500915527344,42.35749816894531,42.18199996948242,42.63150024414063,42.85650024414063,43.05100021362305,42.95999984741211,42.13586465320984,42.610576893236896,42.65205146560845,42.63553461558142,42.54285580003605,78.72106850552726,77.61876541872782,70.2036343862246,68.41961363719092,73.47886403605607,0.9340598117903268,1.0880776914460242,1.1305351979338525,1.1403462578692896,1.115493208144137,0.3770969147379281,0.5192930700795474,0.6415414956504084,0.7413024480941847,0.8161406001041753,42.93230104329095,43.58141609143682,43.96902308848775,44.28218617375575,44.49033936629035,35.896198941450265,35.834334030633485,35.88747715565287,35.989564085643664,36.20991087785027,-1
43.560001373291016,42.73500061035156,42.602500915527344,42.35749816894531,42.72249984741211,42.63150024414063,42.85650024414063,43.05100021362305,42.95999984741211,42.79550018310547,42.610576893236896,42.65205146560845,42.63553461558142,42.54285580003605,42.602737149161406,77.61876541872782,70.2036343862246,68.41961363719092,73.47886403605607,74.11194277720979,1.0880776914460242,1.1305351979338525,1.1403462578692896,1.115493208144137,1.1124262152383722,0.5192930700795474,0.6415414956504084,0.7413024480941847,0.8161406001041753,0.8753977231310148,43.58141609143682,43.96902308848775,44.28218617375575,44.49033936629035,44.65216584797864,35.834334030633485,35.88747715565287,35.989564085643664,36.20991087785027,36.570334380903205,0
42.73500061035156,42.602500915527344,42.35749816894531,42.72249984741211,42.54499816894531,42.85650024414063,43.05100021362305,42.95999984741211,42.79550018310547,42.592499542236325,42.65205146560845,42.63553461558142,42.54285580003605,42.602737149161406,42.58349082242271,70.2036343862246,68.41961363719092,73.47886403605607,74.11194277720979,75.20181134121003,1.1305351979338525,1.1403462578692896,1.115493208144137,1.1124262152383722,1.0831864006882057,0.6415414956504084,0.7413024480941847,0.8161406001041753,0.8753977231310148,0.9169554586424532,43.96902308848775,44.28218617375575,44.49033936629035,44.65216584797864,44.79591635749421,35.88747715565287,35.989564085643664,36.20991087785027,36.570334380903205,36.85433350517669,-1
42.602500915527344,42.35749816894531,42.72249984741211,42.54499816894531,42.70000076293945,43.05100021362305,42.95999984741211,42.79550018310547,42.592499542236325,42.5854995727539,42.63553461558142,42.54285580003605,42.602737149161406,42.58349082242271,42.62232746926163,68.41961363719092,73.47886403605607,74.11194277720979,75.20181134121003,71.56082413468086,1.1403462578692896,1.115493208144137,1.1124262152383722,1.0831864006882057,1.0602985888015652,0.7413024480941847,0.8161406001041753,0.8753977231310148,0.9169554586424532,0.9456240846742756,44.28218617375575,44.49033936629035,44.65216584797864,44.79591635749421,44.95046318691191,35.989564085643664,36.20991087785027,36.570334380903205,36.85433350517669,37.096286691017774,0
42.35749816894531,42.72249984741211,42.54499816894531,42.70000076293945,42.60499954223633,42.95999984741211,42.79550018310547,42.592499542236325,42.5854995727539,42.5859992980957,42.54285580003605,42.602737149161406,42.58349082242271,42.62232746926163,42.61655149358653,73.47886403605607,74.11194277720979,75.20181134121003,71.56082413468086,74.21118619553603,1.115493208144137,1.1124262152383722,1.0831864006882057,1.0602985888015652,1.0227049226940963,0.8161406001041753,0.8753977231310148,0.9169554586424532,0.9456240846742756,0.96104025227824,44.49033936629035,44.65216584797864,44.79591635749421,44.95046318691191,45.06765552339019,36.20991087785027,36.570334380903205,36.85433350517669,37.096286691017774,37.34309429350435,-1
42.72249984741211,42.54499816894531,42.70000076293945,42.60499954223633,42.73249816894531,42.79550018310547,42.592499542236325,42.5854995727539,42.5859992980957,42.6609992980957,42.602737149161406,42.58349082242271,42.62232746926163,42.61655149358653,42.6552003853728,74.11194277720979,75.20181134121003,71.56082413468086,74.21118619553603,78.96608148451168,1.1124262152383722,1.0831864006882057,1.0602985888015652,1.0227049226940963,0.9917672693536944,0.8753977231310148,0.9169554586424532,0.9456240846742756,0.96104025227824,0.9671856556933308,44.65216584797864,44.79591635749421,44.95046318691191,45.06765552339019,45.18106285825034,36.570334380903205,36.85433350517669,37.096286691017774,37.34309429350435,37.58243659243325,0
